,columns,missing values count
83,Sensor - 84,13
84,Sensor - 85,22
85,Sensor - 86,7572
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,627
90,Sensor - 91,627
91,Sensor - 92,57
92,Sensor - 93,24
93,Sensor - 94,24
94,Sensor - 95,57
95,Sensor - 96,57
96,Sensor - 97,57
97,Sensor - 98,57
98,Sensor - 99,57
99,Sensor - 100,57
100,Sensor - 101,57
101,Sensor - 102,57
102,Sensor - 103,57
103,Sensor - 104,24
104,Sensor - 105,24
105,Sensor - 106,57
106,Sensor - 107,57
107,Sensor - 108,57
108,Sensor - 109,57
109,Sensor - 110,3517
110,Sensor - 111,3517
111,Sensor - 112,3517
112,Sensor - 113,6930
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,312
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,39
122,Sensor - 123,39
123,Sensor - 124,39
124,Sensor - 125,39
125,Sensor - 126,39
126,Sensor - 127,39
127,Sensor - 128,39
128,Sensor - 129,39
129,Sensor - 130,39
130,Sensor - 131,39
131,Sensor - 132,39
132,Sensor - 133,39
133,Sensor - 134,39
134,Sensor - 135,39
135,Sensor - 136,0
136,Sensor - 137,13
137,Sensor - 138,35
138,Sensor - 139,167
139,Sensor - 140,167
140,Sensor - 141,167
141,Sensor - 142,167
142,Sensor - 143,167
143,Sensor - 144,103
144,Sensor - 145,26
145,Sensor - 146,26
146,Sensor - 147,26
147,Sensor - 148,26
148,Sensor - 149,26
149,Sensor - 150,39
150,Sensor - 151,39
151,Sensor - 152,39
152,Sensor - 153,39
153,Sensor - 154,39
154,Sensor - 155,39
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,9568
158,Sensor - 159,9568
159,Sensor - 160,11
160,Sensor - 161,11
161,Sensor - 162,11
162,Sensor - 163,11
163,Sensor - 164,11
164,Sensor - 165,11
165,Sensor - 166,11
166,Sensor - 167,11
167,Sensor - 168,11
168,Sensor - 169,11
169,Sensor - 170,11
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,178
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,13
191,Sensor - 192,13
192,Sensor - 193,13
193,Sensor - 194,13
194,Sensor - 195,13
195,Sensor - 196,13
196,Sensor - 197,63
197,Sensor - 198,63
198,Sensor - 199,63
199,Sensor - 200,63
200,Sensor - 201,63
201,Sensor - 202,63
202,Sensor - 203,63
203,Sensor - 204,63
204,Sensor - 205,63
205,Sensor - 206,63
206,Sensor - 207,63
207,Sensor - 208,63
208,Sensor - 209,63
209,Sensor - 210,63
210,Sensor - 211,312
211,Sensor - 212,312
212,Sensor - 213,312
213,Sensor - 214,312
214,Sensor - 215,312
215,Sensor - 216,312
216,Sensor - 217,312
217,Sensor - 218,312
218,Sensor - 219,13
219,Sensor - 220,22
220,Sensor - 221,7572
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,627
225,Sensor - 226,627
226,Sensor - 227,57
227,Sensor - 228,24
228,Sensor - 229,24
229,Sensor - 230,57
230,Sensor - 231,57
231,Sensor - 232,57
232,Sensor - 233,57
233,Sensor - 234,57
234,Sensor - 235,57
235,Sensor - 236,57
236,Sensor - 237,57
237,Sensor - 238,57
238,Sensor - 239,24
239,Sensor - 240,24
240,Sensor - 241,57
241,Sensor - 242,57
242,Sensor - 243,57
243,Sensor - 244,57
244,Sensor - 245,3517
245,Sensor - 246,3517
246,Sensor - 247,3517
247,Sensor - 248,6930
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,312
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,39
257,Sensor - 258,39
258,Sensor - 259,39
259,Sensor - 260,39
260,Sensor - 261,39
261,Sensor - 262,39
262,Sensor - 263,39
263,Sensor - 264,39
264,Sensor - 265,39
265,Sensor - 266,39
266,Sensor - 267,39
267,Sensor - 268,39
268,Sensor - 269,39
269,Sensor - 270,39
270,Sensor - 271,0
271,Sensor - 272,13
272,Sensor - 273,35
273,Sensor - 274,167
274,Sensor - 275,167
275,Sensor - 276,167
276,Sensor - 277,167
277,Sensor - 278,167
278,Sensor - 279,103
279,Sensor - 280,26
280,Sensor - 281,26
281,Sensor - 282,26
282,Sensor - 283,26
283,Sensor - 284,26
284,Sensor - 285,39
285,Sensor - 286,39
286,Sensor - 287,39
287,Sensor - 288,39
288,Sensor - 289,39
289,Sensor - 290,39
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,9568
293,Sensor - 294,9568
294,Sensor - 295,11
295,Sensor - 296,11
296,Sensor - 297,11
297,Sensor - 298,11
298,Sensor - 299,11
299,Sensor - 300,11
300,Sensor - 301,11
301,Sensor - 302,11
302,Sensor - 303,11
303,Sensor - 304,11
304,Sensor - 305,11
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,178
314,Sensor - 315,178
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,13
327,Sensor - 328,13
328,Sensor - 329,13
329,Sensor - 330,13
330,Sensor - 331,13
331,Sensor - 332,13
332,Sensor - 333,63
333,Sensor - 334,63
334,Sensor - 335,63
335,Sensor - 336,63
336,Sensor - 337,63
337,Sensor - 338,63
338,Sensor - 339,63
339,Sensor - 340,63
340,Sensor - 341,63
341,Sensor - 342,63
342,Sensor - 343,63
343,Sensor - 344,63
344,Sensor - 345,63
345,Sensor - 346,6571
346,Sensor - 347,6571
347,Sensor - 348,63
348,Sensor - 349,312
349,Sensor - 350,312
350,Sensor - 351,312
351,Sensor - 352,312
352,Sensor - 353,312
353,Sensor - 354,312
354,Sensor - 355,312
355,Sensor - 356,312
356,Sensor - 357,13
357,Sensor - 358,22
358,Sensor - 359,7572
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,627
363,Sensor - 364,627
364,Sensor - 365,57
365,Sensor - 366,24
366,Sensor - 367,24
367,Sensor - 368,57
368,Sensor - 369,57
369,Sensor - 370,57
370,Sensor - 371,57
371,Sensor - 372,57
372,Sensor - 373,57
373,Sensor - 374,57
374,Sensor - 375,57
375,Sensor - 376,57
376,Sensor - 377,24
377,Sensor - 378,24
378,Sensor - 379,57
379,Sensor - 380,57
380,Sensor - 381,57
381,Sensor - 382,57
382,Sensor - 383,3517
383,Sensor - 384,3517
384,Sensor - 385,3517
385,Sensor - 386,6930
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,312
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,39
395,Sensor - 396,39
396,Sensor - 397,39
397,Sensor - 398,39
398,Sensor - 399,39
399,Sensor - 400,39
400,Sensor - 401,39
401,Sensor - 402,39
402,Sensor - 403,39
403,Sensor - 404,39
404,Sensor - 405,39
405,Sensor - 406,39
406,Sensor - 407,39
407,Sensor - 408,39
408,Sensor - 409,0
409,Sensor - 410,13
410,Sensor - 411,35
411,Sensor - 412,167
412,Sensor - 413,167
413,Sensor - 414,167
414,Sensor - 415,167
415,Sensor - 416,167
416,Sensor - 417,103
417,Sensor - 418,26
418,Sensor - 419,26
419,Sensor - 420,26
420,Sensor - 421,26
421,Sensor - 422,26
422,Sensor - 423,39
423,Sensor - 424,39
424,Sensor - 425,39
425,Sensor - 426,39
426,Sensor - 427,39
427,Sensor - 428,39
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,11
431,Sensor - 432,11
432,Sensor - 433,11
433,Sensor - 434,11
434,Sensor - 435,11
435,Sensor - 436,11
436,Sensor - 437,11
437,Sensor - 438,11
438,Sensor - 439,11
439,Sensor - 440,11
440,Sensor - 441,11
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,178
450,Sensor - 451,178
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,13
463,Sensor - 464,13
464,Sensor - 465,13
465,Sensor - 466,13
466,Sensor - 467,13
467,Sensor - 468,13
468,Sensor - 469,63
469,Sensor - 470,63
470,Sensor - 471,63
471,Sensor - 472,63
472,Sensor - 473,63
473,Sensor - 474,63
474,Sensor - 475,63
475,Sensor - 476,63
476,Sensor - 477,63
477,Sensor - 478,63
478,Sensor - 479,63
479,Sensor - 480,63
480,Sensor - 481,63
481,Sensor - 482,63
482,Sensor - 483,312
483,Sensor - 484,312
484,Sensor - 485,312
485,Sensor - 486,312
486,Sensor - 487,312
487,Sensor - 488,312
488,Sensor - 489,312
489,Sensor - 490,312
490,Sensor - 491,13
491,Sensor - 492,22
492,Sensor - 493,7572
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,627
497,Sensor - 498,627
498,Sensor - 499,57
499,Sensor - 500,24
500,Sensor - 501,24
501,Sensor - 502,57
502,Sensor - 503,57
503,Sensor - 504,57
504,Sensor - 505,57
505,Sensor - 506,57
506,Sensor - 507,57
507,Sensor - 508,57
508,Sensor - 509,57
509,Sensor - 510,57
510,Sensor - 511,24
511,Sensor - 512,24
512,Sensor - 513,57
513,Sensor - 514,57
514,Sensor - 515,57
515,Sensor - 516,57
516,Sensor - 517,3517
517,Sensor - 518,3517
518,Sensor - 519,3517
519,Sensor - 520,6930
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,312
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,39
529,Sensor - 530,39
530,Sensor - 531,39
531,Sensor - 532,39
532,Sensor - 533,39
533,Sensor - 534,39
534,Sensor - 535,39
535,Sensor - 536,39
536,Sensor - 537,39
537,Sensor - 538,39
538,Sensor - 539,39
539,Sensor - 540,39
540,Sensor - 541,39
541,Sensor - 542,39
542,Sensor - 543,22
543,Sensor - 544,22
544,Sensor - 545,22
545,Sensor - 546,22
546,Sensor - 547,871
547,Sensor - 548,871
548,Sensor - 549,871
549,Sensor - 550,871
550,Sensor - 551,871
551,Sensor - 552,871
552,Sensor - 553,871
553,Sensor - 554,871
554,Sensor - 555,871
555,Sensor - 556,871
556,Sensor - 557,871
557,Sensor - 558,871
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,185
563,Sensor - 564,185
564,Sensor - 565,185
565,Sensor - 566,185
566,Sensor - 567,185
567,Sensor - 568,185
568,Sensor - 569,185
569,Sensor - 570,185
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,6200
579,Sensor - 580,6200
580,Sensor - 581,6200
581,Sensor - 582,6200
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
